RA Master,,,,,,,
Level,Operator,Circle,LRN,Model,ROUTING DETAILS,HLR Detail,Sub Level
7200,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
7204,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
7205,TATA_GSM,OR,3297,GSM,Please route Through BTSL (AES),HLR1,
7206,TATA_GSM,HR,3289,GSM,Please route Through BTSL (AES),HLR1,
7207,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
7208,TATA_GSM,MB,3282,GSM,Please route Through BTSL (AES),HLR2,
7209,TATA_GSM,BH,3285,GSM,Please route Through BTSL (AES),HLR5,
7250,AIRTEL,BH,2726,GSM,Please route Through BTSL (AES),HLR5,
7259,AIRTEL,KA,3002,GSM,Please route Through BTSL (AES),HLR1,
7275,TATA_GSM,UE,3401,GSM,Please route Through BTSL (AES),HLR1,
7276,TATA_GSM,MH,3281,GSM,Please route Through BTSL (AES),HLR2,
7277,AIRCEL,BH,3049,GSM,Please route Through BTSL (AES),HLR5,
7278,AIRCEL,KO,3054,GSM,Please route Through BTSL (AES),HLR1,
7293,AIRCEL,KL,3053,GSM,Please route Through BTSL (AES),HLR1,
7298,AIRCEL,JK,3052,GSM,Please route Through BTSL (AES),HLR1,
7299,AIRCEL,CH,2101,GSM,Please route Through BTSL (AES),HLR1,
7373,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
7376,BSNL_GSM,UE,2540,GSM,Please route Through BTSL (AES),HLR1,
7377,IDEA,OR,3078,GSM,Please route Through BTSL (AES),HLR1,
7379,VODAFONE,UE,4104,GSM,Please route Through BTSL (AES),HLR1,
7396,UNINOR,AP,3572,GSM,Please route Through BTSL (AES),HLR2,
7398,UNINOR,UE,3502,GSM,Please route Through BTSL (AES),HLR1,
7399,AIRCEL,AS,3048,GSM,Please route Through BTSL (AES),HLR1,
7411,TATA_GSM,KA,3292,GSM,Please route Through BTSL (AES),HLR2,
7415,TATA_GSM,MP,3295,GSM,Please route Through BTSL (AES),HLR3,
7416,TATA_GSM,AP,3283,GSM,Please route Through BTSL (AES),HLR2,
7417,TATA_GSM,UW,3402,GSM,Please route Through BTSL (AES),HLR1,
7418,TATA_GSM,TN,3400,GSM,Please route Through BTSL (AES),CH HLR1,
7419,RELIANCE_GSM,MH,3121,CDMA,Please route Through BTSL (AES),HLR2,
7428,RELIANCE_GSM,DL,3112,CDMA,Please route Through BTSL (AES),HLR2,
7429,RELIANCE_GSM,KL,3118,CDMA,Please route Through BTSL (AES),HLR1,
7439,RELIANCE_CDMA,KO,3119,CDMA,Please route Through BTSL (AES),HLR1,
7483,RELIANCE_GSM,KA,3117,CDMA,Please route Through BTSL (AES),HLR2,
7488,RELIANCE_GSM,BH,3111,CDMA,Please route Through BTSL (AES),HLR5,
7489,RELIANCE_CDMA,MP,3120,CDMA,Please route Through BTSL (AES),HLR3,
7498,RELIANCE_CDMA,MB,3122,CDMA,Please route Through BTSL (AES),HLR2,
7499,RELIANCE_CMDA,UE,3127,CDMA,Please route Through BTSL (AES),HLR1,
7500,IDEA,UW,3083,GSM,Please route Through BTSL (AES),HLR1,
7501,TATA_GSM,WB,3403,GSM,Please route Through BTSL (AES),HLR3,
7502,AIRCEL,TN,2109,GSM,Please route Through BTSL (AES),CH HLR1,
7503,AIRCEL,DL,2103,GSM,Please route Through BTSL (AES),HLR2,
7504,AIRCEL,OR,3057,GSM,Please route Through BTSL (AES),HLR1,
7505,RELIANCE_GSM,UE,3142,GSM,Please route Through BTSL (AES),HLR1,
7520,RELIANCE_CDMA,UW,3128,CDMA,Please route Through BTSL (AES),HLR1,
7549,VODAFONE,BH,4126,GSM,Please route Through BTSL (AES),HLR5,
7566,VODAFONE,MP,4129,GSM,Please route Through BTSL (AES),HLR3,
7567,VODAFONE,GJ,4106,GSM,Please route Through BTSL (AES),HLR3,
7568,AIRTEL,RJ,3025,GSM,Please route Through BTSL (AES),HLR2,
7569,RELIANCE_GSM,AP,3130,GSM,Please route Through BTSL (AES),HLR2,
7587,MTNL_BSNL_GSM,MP,2493,GSM,Please route Through BTSL (AES),HLR3,
7588,MTNL_BSNL_GSM,MH,2494,GSM,Please route Through BTSL (AES),HLR2,
7597,BSNL_GSM,RJ,2498,GSM,Please route Through BTSL (AES),HLR1,
7598,BSNL_GSM,TN,2499,GSM,Please route Through BTSL (AES),CH HLR1,
7599,MTNL_BSNL_GSM,UW,2541,GSM,Please route Through BTSL (AES),HLR1,
7600,AIRTEL,GJ,2728,GSM,Please route Through BTSL (AES),HLR3,
7602,AIRTEL,WB,3023,GSM,Please route Through BTSL (AES),HLR4,
7607,AIRTEL,UE,3021,GSM,Please route Through BTSL (AES),HLR1,
7620,RELIANCE_GSM,MH,3137,GSM,Please route Through BTSL (AES),HLR2,
7631,VODAFONE,BH,4126,GSM,Please route Through BTSL (AES),HLR5,
7639,VODAFONE,TN,4101,GSM,Please route Through BTSL (AES),CH HLR1,
7654,IDEA,BH,2100,GSM,Please route Through BTSL (AES),HLR5,
7665,VODAFONE,RJ,4103,GSM,Please route Through BTSL (AES),HLR1,
7666,RELIANCE_GSM,MB,3138,GSM,Please route Through BTSL (AES),HLR2,
7667,RELIANCE_GSM,TN,3141,GSM,Please route Through BTSL (AES),CH HLR1,
7668,RELIANCE_GSM,UE,3142,GSM,Please route Through BTSL (AES),HLR1,
7669,RELIANCE_GSM,UW,3143,GSM,Please route Through BTSL (AES),HLR1,
7676,RELIANCE_GSM,KA,3135,GSM,Please route Through BTSL (AES),HLR2,
7677,RELIANCE_GSM,BH,3145,GSM,Please route Through BTSL (AES),HLR5,
